risk_regime,moisture_profile,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
MODERATE,wet,35.0,0.0,0.36,0.48,60.91,0.49556004579678625,36.00727827672061,36.00727827672061,MODERATE,25.861504007218794,0.39231184182752077,1.0,-3.032753712411612,0.0,-0.11726903862842142,0.0,False,False,False,True
MODERATE,wet,40.0,0.0,0.36,0.48,60.91,0.49556004579678625,39.040031989132224,39.040031989132224,MODERATE,25.861504007218794,0.5095808804559422,1.0,0.0,0.0,0.0,0.0,False,False,False,True
MODERATE,wet,45.0,0.0,0.36,0.48,60.91,0.49556004579678625,42.072785701543836,42.072785701543836,MODERATE,25.861504007218794,0.6268499190843635,1.0,3.032753712411612,0.0,0.11726903862842131,0.0,False,False,False,True
MODERATE,wet,50.0,0.0,0.36,0.48,60.91,0.49556004579678625,45.10553941395545,45.10553941395545,MODERATE,25.861504007218794,0.7441189577127847,1.0,6.065507424823224,0.0,0.2345380772568425,0.0,False,False,False,True
MODERATE,wet,55.0,0.0,0.36,0.48,60.91,0.49556004579678625,48.13829312636707,48.13829312636707,MODERATE,25.861504007218794,0.8613879963412062,1.0,9.098261137234843,0.0,0.35180711588526403,0.0,False,False,False,True
MODERATE,wet,60.0,0.0,0.36,0.48,60.91,0.49556004579678625,51.17104683877868,51.17104683877868,HIGH,25.861504007218794,0.9786570349696275,1.0,12.131014849646455,0.0,0.46907615451368534,0.0,True,False,False,True
MODERATE,wet,65.0,0.0,0.36,0.48,60.91,0.49556004579678625,53.459562790164476,53.459562790164476,HIGH,25.861504007218794,1.0671482515186341,1.0,14.419530801032252,0.0,0.5575673710626919,0.0,True,False,False,True
MODERATE,wet,70.0,0.0,0.36,0.48,60.91,0.49556004579678625,55.58249038885261,55.58249038885261,HIGH,25.861504007218794,1.149236578558529,1.0,16.54245839972039,0.0,0.6396556981025868,0.0,True,False,False,True
MODERATE,wet,75.0,0.0,0.36,0.48,60.91,0.49556004579678625,57.705417987540734,57.705417987540734,HIGH,25.861504007218794,1.231324905598424,1.0,18.66538599840851,0.0,0.7217440251424817,0.0,True,False,False,True
MODERATE,wet,80.0,0.0,0.36,0.48,60.91,0.49556004579678625,59.82834558622887,59.82834558622887,HIGH,25.861504007218794,1.313413232638319,1.0,20.788313597096646,0.0,0.8038323521823768,0.0,True,False,False,True
MODERATE,wet,85.0,0.0,0.36,0.48,60.91,0.49556004579678625,61.951273184917,61.951273184917,HIGH,25.861504007218794,1.3955015596782139,1.0,22.911241195784775,0.0,0.8859206792222717,0.0,True,False,False,True
MODERATE,wet,90.0,0.0,0.36,0.48,60.91,0.49556004579678625,64.07420078360514,64.07420078360514,HIGH,25.861504007218794,1.4775898867181088,1.0,25.03416879447291,0.0,0.9680090062621666,0.0,True,False,False,True
MODERATE,wet,95.0,0.0,0.36,0.48,60.91,0.49556004579678625,64.65376001804698,64.65376001804698,HIGH,25.861504007218794,1.5,1.0,25.613728028914757,0.0,0.9904191195440578,0.0,True,False,False,True
MODERATE,wet,100.0,0.0,0.36,0.48,60.91,0.49556004579678625,64.65376001804698,64.65376001804698,HIGH,25.861504007218794,1.5,1.0,25.613728028914757,0.0,0.9904191195440578,0.0,True,False,False,True
HIGH,wet,0.0,0.8,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.0,0.2889337913011991,-8.102080180054735,0.0,-0.5095808804559422,0.0,False,False,False,True
HIGH,wet,5.0,0.8,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.0,0.2889337913011991,-8.102080180054735,0.0,-0.5095808804559422,0.0,False,False,False,True
HIGH,wet,10.0,0.8,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.0,0.2889337913011991,-8.102080180054735,0.0,-0.5095808804559422,0.0,False,False,False,True
HIGH,wet,15.0,0.8,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.0,0.2889337913011991,-8.102080180054735,0.0,-0.5095808804559422,0.0,False,False,False,True
HIGH,wet,20.0,0.8,0.36,0.48,60.91,0.82889337913012,55.672175482232454,55.672175482232454,HIGH,55.02817067388549,0.040504725942256806,0.2889337913011991,-7.458075371707771,0.0,-0.4690761545136854,0.0,False,False,False,True
HIGH,wet,25.0,0.8,0.36,0.48,60.91,0.82889337913012,57.536694325159395,57.536694325159395,HIGH,55.02817067388549,0.15777376457067807,0.2889337913011991,-5.59355652878083,0.0,-0.35180711588526414,0.0,False,False,False,True
HIGH,wet,30.0,0.8,0.36,0.48,60.91,0.82889337913012,59.40121316808634,59.40121316808634,HIGH,55.02817067388549,0.2750428031990994,0.2889337913011991,-3.729037685853882,0.0,-0.23453807725684278,0.0,False,False,False,True
HIGH,wet,35.0,0.8,0.36,0.48,60.91,0.82889337913012,61.265732011013284,61.265732011013284,HIGH,55.02817067388549,0.39231184182752077,0.2889337913011991,-1.864518842926941,0.0,-0.11726903862842142,0.0,False,False,False,True
