risk_regime,moisture_profile,rate_delta,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
HIGH,wet,-0.05,40.0,0.87889337913012,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.5095808804559422,0.0,-8.102080180054735,0.0,0.0,-0.2889337913011991,False,False,False,True
HIGH,wet,-0.02,40.0,0.84889337913012,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.5095808804559422,0.0,-8.102080180054735,0.0,0.0,-0.2889337913011991,False,False,False,True
HIGH,wet,0.0,40.0,0.82889337913012,0.36,0.48,60.91,0.82889337913012,55.02817067388549,55.02817067388549,HIGH,55.02817067388549,0.5095808804559422,0.0,-8.102080180054735,0.0,0.0,-0.2889337913011991,False,False,False,True
HIGH,wet,0.02,40.0,0.8088933791301199,0.36,0.48,60.91,0.82889337913012,60.636431406261174,60.636431406261174,HIGH,55.02817067388549,0.5095808804559422,0.20000000000000018,-2.4938194476790514,0.0,0.0,-0.08893379130119894,False,False,False,True
HIGH,wet,0.05,40.0,0.7788933791301199,0.36,0.48,60.91,0.82889337913012,69.04882250482471,69.04882250482471,HIGH,55.02817067388549,0.5095808804559422,0.5000000000000004,5.918571650884488,0.0,0.0,0.21106620869880133,False,False,False,True
HIGH,wet,0.1,40.0,0.72889337913012,0.36,0.48,60.91,0.82889337913012,83.06947433576391,83.06947433576391,SEVERE,55.02817067388549,0.5095808804559422,0.9999999999999998,19.93922348182369,0.0,0.0,0.7110662086988007,True,False,False,True
HIGH,wet,0.2,40.0,0.6288933791301199,0.36,0.48,60.91,0.82889337913012,83.06947433576391,83.06947433576391,SEVERE,55.02817067388549,0.5095808804559422,1.0,19.93922348182369,0.0,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,0.3,40.0,0.52889337913012,0.36,0.48,60.91,0.82889337913012,83.06947433576391,83.06947433576391,SEVERE,55.02817067388549,0.5095808804559422,1.0,19.93922348182369,0.0,0.0,0.7110662086988009,True,False,False,True
SEVERE,wet,-0.3,75.0,0.9622267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,-0.2,75.0,0.8622267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,-0.1,75.0,0.7622267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,-0.05,75.0,0.7122267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,-0.02,75.0,0.6822267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,0.0,75.0,0.6622267124634531,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,1.231324905598424,0.0,-49.80073552029898,0.0,0.0,-1.0,True,False,False,True
SEVERE,wet,0.02,75.0,0.6422267124634531,0.36,0.48,60.91,0.6622267124634531,50.404984444611955,50.404984444611955,HIGH,40.44483734055215,1.231324905598424,0.20000000000000018,-39.84058841623917,0.0,0.0,-0.7999999999999998,True,False,False,True
SEVERE,wet,0.05,75.0,0.6122267124634531,0.36,0.48,60.91,0.6622267124634531,65.34520510070166,65.34520510070166,HIGH,40.44483734055215,1.231324905598424,0.5000000000000004,-24.900367760149464,0.0,0.0,-0.49999999999999956,True,False,False,True
SEVERE,wet,0.1,75.0,0.5622267124634531,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,0.9999999999999998,0.0,0.0,0.0,-2.220446049250313e-16,False,False,False,True
SEVERE,wet,0.2,75.0,0.4622267124634531,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,1.0,0.0,0.0,0.0,0.0,False,False,False,True
SEVERE,wet,0.3,75.0,0.3622267124634531,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,1.0,0.0,0.0,0.0,0.0,False,False,False,True
